setup_name,stock_code,stock_name,entry_date,entry_price,signal_date,signal_close,return_5d,return_10d,return_20d,return_60d,hold_return_5d,hold_return_10d,hold_return_20d,hold_return_60d,realized_drawdown,hit_stop,stop_reason,stop_date,stop_price,rs_rank_at_entry,proxy_symbol,market_proxy_return_20d,stock_return_20d,relative_return_vs_market_20d,breadth_below_ma20_pct,regime_event_id,regime_start_date,regime_end_date,momentum_flow,mtf_signal,sector
D_CRASH_SURVIVOR,5515,建國,2025-04-22,28.30,2025-04-21,28.30,-0.88,-0.88,-0.88,-0.88,0.35,4.77,0.00,-11.84,-1.94,true,BREAK_MA60,2025-04-23,28.05,88.49,0050,-14.01,-8.71,5.30,89.62,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,5515,建國,2026-03-31,36.15,2026-03-30,36.50,4.15,17.70,12.59,,4.15,17.70,12.59,,-0.83,false,,,0.00,90.99,0050,-8.03,10.61,18.63,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5521,工信,2025-03-17,11.95,2025-03-14,11.95,8.37,4.18,-5.86,-5.86,8.37,4.18,-4.60,-0.84,-5.86,true,BREAK_MA60,2025-04-07,11.25,72.58,0050,-8.07,7.66,15.73,71.10,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5521,工信,2025-04-22,11.35,2025-04-21,11.45,7.05,13.66,13.66,6.61,7.05,13.66,13.66,0.44,0.00,true,BREAK_MA60,2025-06-09,12.10,78.25,0050,-14.01,-6.15,7.87,89.62,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,5522,遠雄,2026-03-31,70.00,2026-03-30,70.10,5.43,0.71,-2.29,-2.29,5.43,0.71,-1.71,,-2.71,true,BREAK_MA60,2026-04-28,68.40,75.27,0050,-8.03,3.09,11.12,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,CONFLICTED,
D_CRASH_SURVIVOR,5523,FONG CHIEN CONSTRUCTION CO LTD,2025-04-16,29.70,2025-04-15,29.90,2.69,2.69,2.69,1.35,2.69,2.69,2.69,0.67,0.00,true,BREAK_MA60,2025-06-16,30.10,78.91,0050,-8.39,0.00,8.39,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,5523,FONG CHIEN CONSTRUCTION CO LTD,2025-04-18,29.95,2025-04-17,31.00,2.34,2.17,1.84,0.50,2.34,2.17,1.84,-0.17,0.00,true,BREAK_MA60,2025-06-16,30.10,85.80,0050,-12.17,3.51,15.68,90.90,3,2025-03-31,2025-04-25,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,5529,MEGA INTERNATIONAL DEVELOPMENT ,2025-04-15,28.79,2025-04-14,28.40,-2.01,-2.01,-2.01,-2.01,-4.85,10.03,4.35,0.67,-2.34,true,BREAK_MA60,2025-04-21,28.21,95.55,0050,-9.61,-4.07,5.54,96.07,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,5529,MEGA INTERNATIONAL DEVELOPMENT ,2025-04-25,30.67,2025-04-24,31.20,0.63,-2.67,-1.73,-4.55,0.63,-2.67,-1.73,-7.38,-5.34,true,BREAK_MA60,2025-06-20,29.27,97.32,0050,-12.32,5.71,18.03,77.15,3,2025-03-31,2025-04-25,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,5530,LUNGYEN LIFE SERVICE CO LTD,2025-04-01,75.10,2025-03-31,75.00,-11.98,-11.98,-11.98,-11.98,-11.05,-8.39,-3.33,-16.38,-11.98,true,PCT_-10,2025-04-08,66.10,98.62,0050,-8.14,17.19,25.32,92.02,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5531,鄉林,2025-04-21,10.50,2025-04-18,10.65,3.81,5.24,-0.48,-0.48,3.81,5.24,-0.48,-14.29,-2.38,true,BREAK_MA60,2025-05-15,10.45,89.11,0050,-10.88,3.90,14.79,87.42,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,5543,BUIMA GROUP INC,2026-03-31,27.85,2026-03-30,27.95,-2.15,-2.15,-2.15,-2.15,-1.62,-3.77,6.82,,-3.05,true,BREAK_MA60,2026-04-01,27.25,88.59,0050,-8.03,5.47,13.50,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5547,Jioushun,2025-04-15,22.79,2025-04-14,22.79,-1.58,-0.79,5.14,-0.79,-1.58,-0.79,5.14,-1.58,-4.74,true,BREAK_MA60,2025-05-27,22.61,96.54,0050,-9.61,5.64,15.24,96.07,3,2025-03-31,2025-04-25,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,5601,TAIWAN ALLIED CONTAINER TERMINA,2025-03-20,38.30,2025-03-19,38.55,-0.26,-6.53,-6.53,-6.53,-0.26,-6.53,-6.01,-0.65,-9.66,true,BREAK_MA60,2025-04-07,35.80,76.70,0050,-8.65,7.08,15.73,67.98,2,2025-03-13,2025-03-19,MOMENTUM_CONTINUATION,MODERATE,
D_CRASH_SURVIVOR,5608,四維航,2025-03-14,20.20,2025-03-13,20.35,0.00,-5.20,-10.64,-10.64,0.00,-5.20,-16.58,-19.80,-10.89,true,BREAK_MA60,2025-03-31,18.05,87.98,0050,-8.16,26.40,34.56,74.68,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5701,JANFUSUN FANCYWORLD CORP,2025-04-21,5.30,2025-04-18,5.48,0.94,1.89,0.19,-3.77,0.94,1.89,0.19,-7.55,-3.77,true,BREAK_MA60,2025-05-28,5.10,93.47,0050,-10.88,7.87,18.76,87.42,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5876,上海商銀,2025-04-18,46.95,2025-04-17,46.90,-0.96,-0.53,0.85,-2.77,-0.96,-0.53,0.85,-3.83,-4.05,true,BREAK_MA60,2025-06-03,45.65,95.92,0050,-12.17,5.27,17.45,90.90,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5902,TAIT MARKETING & DISTRIBUTION,2025-03-20,45.20,2025-03-19,45.20,-2.21,-13.50,-13.50,-13.50,-2.21,-13.50,-4.87,0.55,-13.50,true,BREAK_MA60,2025-04-07,39.10,85.50,0050,-8.65,10.51,19.17,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,5902,TAIT MARKETING & DISTRIBUTION,2025-04-23,43.55,2025-04-22,42.90,0.92,11.25,8.96,3.33,0.92,11.25,8.96,4.48,-1.03,true,BREAK_MA60,2025-06-20,45.00,93.90,0050,-14.76,-4.45,10.30,89.57,3,2025-03-31,2025-04-25,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,5903,TAIWAN FAMILYMART CO,2025-03-20,198.50,2025-03-19,198.50,-1.01,-4.79,-4.79,-4.79,-1.01,-4.79,2.77,3.02,-8.06,true,BREAK_MA60,2025-04-07,189.00,74.10,0050,-8.65,3.39,12.04,67.98,2,2025-03-13,2025-03-19,MOMENTUM_CONTINUATION,MODERATE,
D_CRASH_SURVIVOR,6024,群益期,2026-03-31,55.50,2026-03-30,55.20,1.80,1.80,1.26,,1.80,1.80,1.26,,-1.08,false,,,0.00,77.67,0050,-8.03,4.55,12.57,64.64,4,2026-03-30,2026-03-31,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6026,GRAND FORTUNE SECURITIES CO LTD,2026-03-31,14.55,2026-03-30,14.50,1.37,1.72,5.50,,1.37,1.72,5.50,,-0.34,false,,,0.00,84.92,0050,-8.03,1.05,9.07,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6028,GIBC,2025-03-20,124.09,2025-03-19,122.73,2.56,-16.85,-16.85,-16.85,2.56,-16.85,5.49,12.45,-20.88,true,BREAK_MA60,2025-04-07,103.18,84.36,0050,-8.65,0.37,9.02,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6028,GIBC,2025-04-22,130.91,2025-04-21,130.91,4.17,13.19,6.25,5.90,4.17,13.19,6.25,3.13,-2.43,true,BREAK_MA60,2025-07-10,138.64,93.79,0050,-14.01,5.88,19.90,89.62,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6101,KWAN'S INTERNATIONAL CO LTD,2025-04-17,38.55,2025-04-16,37.80,0.91,-2.85,-2.85,-2.85,0.91,-2.85,0.91,-1.17,-2.85,true,BREAK_MA60,2025-04-30,37.45,88.74,0050,-10.82,7.69,18.51,91.98,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6108,競國,2025-03-20,16.75,2025-03-19,16.75,-1.79,-1.79,-1.79,-1.79,-1.79,-14.93,-16.12,-15.22,-2.09,true,BREAK_MA60,2025-03-27,16.45,74.93,0050,-8.65,0.30,8.95,67.98,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6108,競國,2026-03-31,16.45,2026-03-30,16.45,0.00,8.21,16.11,,0.00,8.21,16.11,,-3.65,false,,,0.00,76.65,0050,-8.03,7.87,15.90,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6121,SIMPLO TECHNOLOGY,2025-03-20,394.50,2025-03-19,395.00,-1.39,-3.42,-3.42,-3.42,-1.39,-11.91,-16.60,-1.90,-3.42,true,BREAK_MA60,2025-03-28,381.00,83.42,0050,-8.65,8.22,16.87,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6127,LEATEC FINE CERAMICS CO,2026-03-31,41.35,2026-03-30,41.20,-5.93,24.06,6.65,,-5.93,24.06,6.65,,-6.65,false,,,0.00,92.93,0050,-8.03,4.70,12.73,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6130,SHANGYA TECHNOLOGY CO LTD,2025-04-08,28.80,2025-04-07,31.50,-11.28,-11.28,-11.28,-11.28,11.81,21.18,10.94,50.17,-11.28,true,BREAK_MA60,2025-04-09,25.55,91.24,0050,-15.79,42.21,58.00,98.26,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6130,SHANGYA TECHNOLOGY CO LTD,2025-04-22,35.95,2025-04-21,36.00,-7.09,-12.66,-12.66,-12.66,-7.09,-11.13,7.51,13.35,-14.60,true,PCT_-10,2025-05-05,31.40,97.48,0050,-14.01,9.09,23.11,89.62,3,2025-03-31,2025-04-25,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,6136,富爾特,2025-04-16,23.30,2025-04-15,23.50,0.43,0.43,0.43,0.43,7.51,6.22,2.79,-4.08,-0.86,true,BREAK_MA60,2025-04-17,23.40,87.55,0050,-8.39,-2.69,5.70,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6138,ANPEC ELECTRONICS CORP,2025-03-20,181.50,2025-03-19,178.50,-1.10,-4.13,-4.13,-4.13,-1.10,-14.60,-22.31,-9.37,-5.51,true,BREAK_MA60,2025-03-28,174.00,70.82,0050,-8.65,-0.83,7.82,67.98,2,2025-03-13,2025-03-19,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,6139,亞翔,2025-03-20,261.50,2025-03-19,258.00,-1.72,-5.74,-5.74,-5.74,-1.72,-17.02,-16.25,0.96,-5.93,true,BREAK_MA60,2025-03-28,246.50,93.05,0050,-8.65,0.00,8.65,67.98,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6140,DIMENSION COMPUTER TECHNOLOGY,2025-04-16,31.36,2025-04-15,30.50,29.57,36.23,37.25,18.26,29.57,36.23,37.25,25.51,0.00,true,BREAK_MA60,2025-06-06,37.09,97.58,0050,-8.39,1.05,9.45,91.98,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6141,柏承,2026-03-31,21.20,2026-03-30,21.80,13.44,33.96,53.30,,13.44,33.96,53.30,,-9.91,false,,,0.00,94.16,0050,-8.03,60.29,68.32,64.64,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6146,SPORTON INTERNATIONAL INC,2026-03-31,194.00,2026-03-30,195.00,2.32,11.34,13.92,,2.32,11.34,13.92,,-3.09,false,,,0.00,73.63,0050,-8.03,2.63,10.66,64.64,4,2026-03-30,2026-03-31,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6163,HWACOM SYSTEMS INC,2026-04-01,59.10,2026-03-31,56.70,9.14,14.04,-2.03,-2.03,9.14,14.04,-1.18,,-3.55,true,BREAK_MA60,2026-04-27,57.90,98.03,0050,-8.13,7.79,15.92,75.94,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6168,宏齊,2026-04-01,24.05,2026-03-31,22.85,10.81,19.75,12.89,8.32,10.81,19.75,12.89,,-3.53,true,BREAK_MA60,2026-06-05,26.05,74.76,0050,-8.13,15.40,23.53,75.94,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6170,WELLDONE COMPANY,2025-03-14,57.50,2025-03-13,56.60,0.52,-1.74,-12.87,-12.87,0.52,-1.74,-13.91,-13.91,-12.87,true,BREAK_MA60,2025-04-07,50.10,93.56,0050,-8.16,6.99,15.16,74.68,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6177,達麗,2025-04-18,43.29,2025-04-17,43.29,-1.10,-1.10,-1.10,-1.10,2.20,13.09,9.68,4.84,-1.76,true,BREAK_MA60,2025-04-22,42.81,84.48,0050,-12.17,-3.50,8.67,90.90,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,6183,關貿,2025-04-16,89.30,2025-04-15,89.00,0.22,0.22,0.22,0.22,0.11,-0.90,6.16,5.26,-1.46,true,BREAK_MA60,2025-04-17,89.50,94.10,0050,-8.39,0.23,8.62,91.98,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6184,大豐電,2025-04-24,52.80,2025-04-23,52.80,1.52,2.65,3.22,-3.22,1.52,2.65,3.22,-3.60,-3.79,true,BREAK_MA60,2025-06-24,51.10,88.60,0050,-10.89,-2.04,8.85,81.29,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,6185,PLASTRON PRECISION CO,2025-03-20,16.90,2025-03-19,16.90,6.21,-4.44,-13.61,-13.61,6.21,-4.44,-2.96,-8.28,-13.91,true,BREAK_MA60,2025-04-08,14.60,79.62,0050,-8.65,9.39,18.04,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6185,PLASTRON PRECISION CO,2025-04-24,16.65,2025-04-23,16.40,-2.10,-2.10,-2.10,-2.10,3.00,8.11,2.70,-8.41,-3.30,true,BREAK_MA60,2025-04-30,16.30,92.65,0050,-10.89,-4.37,6.52,81.29,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6186,SHIN RUENN DEVELOPMENT CO LTD,2025-04-21,53.72,2025-04-18,53.63,-5.44,-5.44,-5.44,-5.44,-0.33,6.10,10.87,1.15,-6.26,true,BREAK_MA60,2025-04-22,50.80,70.23,0050,-10.88,-4.42,6.47,87.42,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6196,帆宣,2025-03-14,162.00,2025-03-13,161.50,1.54,0.31,-8.33,-8.33,1.54,0.31,-6.48,8.02,-8.33,true,BREAK_MA60,2025-04-07,148.50,78.60,0050,-8.16,10.24,18.40,74.68,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6196,帆宣,2025-04-23,153.00,2025-04-22,148.50,4.90,6.86,14.05,38.24,4.90,6.86,14.05,38.24,0.00,false,,,0.00,81.74,0050,-14.76,-9.73,5.03,89.57,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6199,TIENPIN UNITED ENTERPRISE CO LT,2025-04-17,118.50,2025-04-16,118.50,-8.86,-8.86,-8.86,-8.86,-11.81,-5.91,-8.44,-15.61,-10.13,true,BREAK_MA60,2025-04-18,108.00,99.77,0050,-10.82,16.18,27.00,91.98,3,2025-03-31,2025-04-25,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,6201,亞弘電,2025-04-18,57.80,2025-04-17,57.80,-1.73,-1.73,-1.73,-1.73,0.35,2.08,3.29,6.92,-1.73,true,BREAK_MA60,2025-04-21,56.80,88.64,0050,-12.17,-7.07,5.10,90.90,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6202,盛群,2025-03-20,52.00,2025-03-19,51.50,-5.87,-5.87,-5.87,-5.87,-5.87,-21.73,-28.46,-15.48,-6.63,true,BREAK_MA60,2025-03-27,48.95,80.56,0050,-8.65,0.39,9.04,67.98,2,2025-03-13,2025-03-19,STRUCTURAL_SHIFT_UP,MODERATE,
D_CRASH_SURVIVOR,6203,SEA SONIC ELECTRONICS CO,2025-03-20,78.40,2025-03-19,77.80,6.63,-3.95,-13.52,-13.52,6.63,-3.95,-25.89,-3.32,-13.52,true,BREAK_MA60,2025-04-08,67.80,75.82,0050,-8.65,4.99,13.64,67.98,2,2025-03-13,2025-03-19,MOMENTUM_BUILDING,MODERATE,
D_CRASH_SURVIVOR,6206,飛捷,2025-03-14,144.00,2025-03-13,142.50,-4.86,-11.46,-11.46,-11.46,-4.86,-13.19,-20.49,-16.32,-11.46,true,PCT_-10,2025-03-24,127.50,98.57,0050,-8.16,4.40,12.56,74.68,2,2025-03-13,2025-03-19,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6218,HAUMAN TECHNOLOGIES CORP,2026-04-01,24.90,2026-03-31,24.35,42.57,51.00,61.85,34.14,42.57,51.00,61.85,,-1.20,true,BREAK_MA60,2026-06-08,33.40,84.61,0050,-8.13,3.18,11.30,75.94,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6220,YFC-BONEAGLE ELECTRIC CO,2025-03-14,26.00,2025-03-13,25.80,-3.08,-3.08,-3.08,-3.08,-3.08,-5.00,-16.92,-23.27,-3.08,true,BREAK_MA60,2025-03-19,25.20,77.14,0050,-8.16,1.57,9.74,74.68,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6223,MPI CORPORATION,2026-04-01,3900.00,2026-03-31,3595.00,18.46,33.21,32.44,,18.46,33.21,32.44,,-3.85,false,,,0.00,97.01,0050,-8.13,25.92,34.05,75.94,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6228,PACIFIC IMAGE ELECTRONICS CO,2025-04-25,50.50,2025-04-24,47.70,-3.86,-4.65,-11.29,-11.29,-3.86,-4.65,-5.05,-23.07,-11.78,true,PCT_-10,2025-05-15,44.80,89.64,0050,-12.32,45.87,58.19,77.15,3,2025-03-31,2025-04-25,MOMENTUM_NEUTRAL,MODERATE,
D_CRASH_SURVIVOR,6234,TERA AUTOTECH CORP,2026-04-01,29.10,2026-03-31,27.90,2.58,13.23,99.31,,2.58,13.23,99.31,,-4.81,false,,,0.00,78.08,0050,-8.13,4.49,12.62,75.94,4,2026-03-30,2026-03-31,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6236,NEITH CORPORATION,2025-04-16,28.95,2025-04-15,28.95,0.00,-3.63,-3.63,-3.63,0.00,-7.08,0.35,-4.32,-3.63,true,BREAK_MA60,2025-04-25,27.90,79.33,0050,-8.39,11.35,19.74,91.98,3,2025-03-31,2025-04-25,MOMENTUM_FADING,MODERATE,
D_CRASH_SURVIVOR,6241,AMIGO TECHNOLOGY INC.,2025-03-20,17.10,2025-03-19,16.65,-7.89,-12.28,-12.28,-12.28,-7.89,-23.68,-29.82,-25.44,-13.16,true,BREAK_MA60,2025-03-28,15.00,75.56,0050,-8.65,4.72,13.37,67.98,2,2025-03-13,2025-03-19,MOMENTUM_FADING,MODERATE,
